paper_id,spec_no,T_C,stress_MPa,t_rupture_h,theta_from_001_deg,theta_from_011_deg,Gamma prime size,L,G,SFE,Misfit,Schmid1_110,MultislipPropensity_110
G.M. Han et al.,L,1040,165,176,50.682,30.692,0.45,0.36462,56.896,40.472,-0.252,0.329826,0.955255195
G.M. Han et al.,M,1040,165,63,47.013,27.869,0.45,0.36462,56.896,40.472,-0.252,0.368275,0.900666621
G.M. Han et al.,N,1040,165,66,41.318,3.789,0.45,0.36462,56.896,40.472,-0.252,0.436644,0.981396744
G.M. Han et al.,O,1040,165,54,43.847,3.374,0.45,0.36462,56.896,40.472,-0.252,0.429865,0.960534121
G.M. Han et al.,P,1040,165,65,39.884,20.181,0.45,0.36462,56.896,40.472,-0.252,0.447415,0.807994815
G.M. Han et al.,Q,1040,165,91,46.477,19.174,0.45,0.36462,56.896,40.472,-0.252,0.418268,0.95911473
G.M. Han et al.,R,1040,165,143,32.566,17.848,0.45,0.36462,56.896,40.472,-0.252,0.487497,0.839270806
G.M. Han et al.,T,1040,165,131,44.149,1.16,0.45,0.36462,56.896,40.472,-0.252,0.417987,0.981427652
G.M. Han et al.,[001],1040,165,135,0,45,0.45,0.36462,56.896,40.472,-0.252,0.408248,1
G.M. Han et al.,[011],1040,165,131,45,0,0.45,0.36462,56.896,40.472,-0.252,0.408248,1
G.M. Han et al.,[111],1040,165,185,54.736,35.264,0.45,0.36462,56.896,40.472,-0.252,0.272172,1
Wang et al.,SC 1,900,445,234.5,0,45,0.45,0.36404,60.373,26.503,-0.748,0.408248,1
Wang et al.,SC 2,900,445,34.8,45,0,0.45,0.36404,60.373,26.503,-0.748,0.408248,1
Wang et al.,SC 3,900,445,127.1,54.736,35.264,0.45,0.36404,60.373,26.503,-0.748,0.272172,1
Wang et al.,SC 4,1100,100,395.7,0,45,0.45,0.36588,53.272,38.227,-0.493,0.408248,1
Wang et al.,SC 5,1100,100,116.3,45,0,0.45,0.36588,53.272,38.227,-0.493,0.408248,1
Wang et al.,SC 6,1100,100,522.6,54.736,35.264,0.45,0.36588,53.272,38.227,-0.493,0.272172,1
CMSX4_Table1_Lukas,I- CMSX-4,850,500,79.9,45,0,0.45,0.36355,62.358,27.775,-0.673,0.408248,1
CMSX4_Table1_Lukas,J,850,500,38.5,45,0,0.45,0.36355,62.358,27.775,-0.673,0.408248,1
CMSX4_Table1_Lukas,R,980,350,27.8,54.7356,35.2644,0.45,0.36434,59.283,33.255,-0.553,0.272166,1
rae_matan,K,750,750,260,5.2,40.2,0.45,0.36281,65.132,22.611,-0.788,0.439856,0.99478693
Lukas et al,Fig2a_CM186LC_1,850,501,65,45,0,0.4,0.36329,63.262,29.363,-0.715,0.408248,1
Lukas et al,Fig2a_CM186LC_2,850,401,568,45,0,0.4,0.36329,63.262,29.363,-0.715,0.408248,1
Lukas et al,Fig2a_CM186LC_3,850,349,1864,45,0,0.4,0.36329,63.262,29.363,-0.715,0.408248,1
Lukas et al,Fig2a_CMSX4_1,850,552,51,45,0,0.5,0.36355,62.358,27.775,-0.673,0.408248,1
Lukas et al,Fig2a_CMSX4_2,850,501,198,45,0,0.5,0.36355,62.358,27.775,-0.673,0.408248,1
Lukas et al,Fig2a_CMSX4_3,850,451,667,45,0,0.5,0.36355,62.358,27.775,-0.673,0.408248,1
Lukas et al,Fig2a_CMSX4_4,850,400,1636,45,0,0.5,0.36355,62.358,27.775,-0.673,0.408248,1
