paper_id,spec_no,T_C,stress_MPa,t_rupture_h,theta_from_001_deg,theta_from_011_deg,Gamma_prime_size,L,G,SFE,Misfit,Schmid1_110,MultislipPropensity_110,y_log10,T_K,Inv_T_K,Log_Stress,cos_001,cos_011,RSS_110,Log_RSS_110,
1988,CMSX-4 04,760,750,1000,54.74,35.26,0.34,0.36289,64.865,23.096,-0.776,0.272239,1,3,1033.15,0.967913662,2.875061263,0.577287712,0.816540812,204.17925,2.310011604,
1988,CMSX-4 05,760,750,1800,54.74,35.26,0.22,0.36289,64.865,23.096,-0.776,0.272239,1,3.255272505,1033.15,0.967913662,2.875061263,0.577287712,0.816540812,204.17925,2.310011604,
Gunturi et al.,CMSX-04 -6,750,750,118,34,27.237,0.45,0.36281,65.132,22.611,-0.788,0.435688,0.895569766,2.071882007,1023.15,0.977373797,2.875061263,0.829037573,0.889121007,326.766,2.514236862,
Gunturi et al.,CMSX-04 -7,750,720,110,47.9,23.22,0.45,0.36281,65.132,22.611,-0.788,0.393607,0.961268473,2.041392685,1023.15,0.977373797,2.857332496,0.670426619,0.918997772,283.39704,2.45239531,
Gunturi et al.,CMSX-04 -8,750,675,40,42.2,15.574,0.45,0.36281,65.132,22.611,-0.788,0.450147,0.880163591,1.602059991,1023.15,0.977373797,2.829303773,0.740804596,0.9632845,303.849225,2.482658133,
Gunturi et al.,CMSX-04 -9,750,750,5,42.2,15.574,0.45,0.36281,65.132,22.611,-0.788,0.450147,0.880163591,0.698970004,1023.15,0.977373797,2.875061263,0.740804596,0.9632845,337.61025,2.528415624,
Gunturi et al.,CMSX-04 -10,750,720,5,41.3,4.443,0.45,0.36281,65.132,22.611,-0.788,0.442881,0.949679485,0.698970004,1023.15,0.977373797,2.857332496,0.751264134,0.996994894,318.87432,2.503619545,
Gunturi et al. ,CMSX-04 -11,750,750,5,37.5,7.505,0.45,0.36281,65.132,22.611,-0.788,0.455212,0.995162693,0.698970004,1023.15,0.977373797,2.875061263,0.79335334,0.991433467,341.409,2.533274966,
G.M. Han et al.,A SRR99,760,790,456,3.85,41.78,0.45,0.36244,65.583,27.69,-0.608,0.429871,0.996143029,2.658964843,1033.15,0.967913662,2.897627091,0.997743253,0.745708618,339.59809,2.530965239,
G.M. Han et al.,B ,760,790,449,5.85,40.53,0.45,0.36244,65.583,27.69,-0.608,0.436978,0.990567031,2.652246341,1033.15,0.967913662,2.897627091,0.994792142,0.760065811,345.21262,2.538086664,
G.M. Han et al.,C ,760,790,435,9.43,35.31,0.45,0.36244,65.583,27.69,-0.608,0.4642,1,2.638489257,1033.15,0.967913662,2.897627091,0.986486509,0.816036722,366.718,2.564332227,
G.M. Han et al.,D,760,790,295,12.53,34.75,0.45,0.36244,65.583,27.69,-0.608,0.466454,0.963571971,2.469822016,1033.15,0.967913662,2.897627091,0.976182546,0.821646938,368.49866,2.566435913,
G.M. Han et al.,E,760,790,329,15.79,31.23,0.45,0.36244,65.583,27.69,-0.608,0.481251,0.952166333,2.517195898,1033.15,0.967913662,2.897627091,0.962265501,0.855092905,380.18829,2.579998736,
G.M. Han et al.,F,760,790,376,18.39,31.38,0.45,0.36244,65.583,27.69,-0.608,0.473454,0.919354362,2.575187845,1033.15,0.967913662,2.897627091,0.948931088,0.853732612,374.02866,2.572904881,
G.M. Han et al.,G,760,790,326,21.36,25.36,0.45,0.36244,65.583,27.69,-0.608,0.496598,0.936246219,2.5132176,1033.15,0.967913662,2.897627091,0.931310321,0.903634526,392.31242,2.593632057,
